Month,Product Id,Product Name,Shop Name,L1 category,L2 category,L3 category,Item Sold,Revenue,Avg. Unit Price,MoM Growth %
2/24/2026,1729383941730701675,CeraVe Moisturizing Cream 16oz,Ulta Beauty,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"14,757","$316,868.27 ",$21.47 ,18.7%
2/24/2026,1729383941730701676,The Ordinary Niacinamide 10% + Zinc 1%,Sephora,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"18,355","$104,498.60 ",$5.69 ,17.1%
2/24/2026,1729383941730701677,Neutrogena Hydro Boost Gel-Cream,Target,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"15,130","$327,124.97 ",$21.62 ,32.3%
2/24/2026,1729383941730701678,La Roche-Posay Toleriane Double Repair Moisturizer,CVS Pharmacy,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"12,702","$276,030.16 ",$21.73 ,32.8%
2/24/2026,1729383941730701679,Paula's Choice 2% BHA Liquid Exfoliant,Dermstore,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"8,476","$250,747.78 ",$29.58 ,31.1%
2/24/2026,1729383941730701680,Olaplex No.3 Hair Perfector,Sephora,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"40,645","$1,256,218.36 ",$30.91 ,26.6%
2/24/2026,1729383941730701681,Moroccanoil Treatment Original 3.4oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"14,026","$490,210.29 ",$34.95 ,24.3%
2/24/2026,1729383941730701682,CHI Silk Infusion Reconstructing Complex,Amazon,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"18,618","$297,849.08 ",$16.0 ,40.1%
2/24/2026,1729383941730701683,TRESemme Keratin Smooth Shine Serum,Walmart,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"15,189","$110,692.22 ",$7.29 ,8.4%
2/24/2026,1729383941730701684,Redken All Soft Conditioner 10.1oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"8,516","$183,441.33 ",$21.54 ,37.1%
2/24/2026,1729383941730701685,Dior Sauvage Eau de Toilette 3.4oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"22,100","$2,425,105.70 ",$109.73 ,25.9%
2/24/2026,1729383941730701686,Versace Bright Crystal EDT 3oz,Ulta Beauty,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"7,352","$519,377.37 ",$70.64 ,36.4%
2/24/2026,1729383941730701687,YSL Black Opium Eau de Parfum 1.6oz,Nordstrom,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"3,804","$347,630.31 ",$91.39 ,31.1%
2/24/2026,1729383941730701688,Marc Jacobs Daisy EDT 3.4oz,Macy's,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"14,425","$1,082,136.23 ",$75.02 ,11.1%
2/24/2026,1729383941730701689,Sol de Janeiro Brazilian Bum Bum Cream 8.1oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"9,834","$486,712.90 ",$49.49 ,10.5%
2/24/2026,1729383941730701690,Blue Buffalo Life Protection Adult Chicken & Rice 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"23,529","$1,240,929.53 ",$52.74 ,40.7%
2/24/2026,1729383941730701691,Purina Pro Plan Adult Sensitive Skin Salmon 30lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"23,542","$1,330,646.17 ",$56.52 ,39.1%
2/24/2026,1729383941730701692,Royal Canin Medium Adult Dry Dog Food 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"5,171","$357,403.36 ",$69.12 ,25.4%
2/24/2026,1729383941730701693,Hill's Science Diet Adult Chicken & Barley 35lb,Amazon,Pet Supplies,Pet Food,Dry Dog Food,"12,482","$697,234.10 ",$55.86 ,-5.4%
2/24/2026,1729383941730701694,Taste of the Wild High Prairie Grain-Free 28lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"3,212","$139,371.28 ",$43.39 ,14.5%
2/24/2026,1729383941730701695,Maybelline Fit Me Matte + Poreless Foundation,Target,Beauty & Personal Care,Makeup,Face Makeup,"31,517","$266,986.28 ",$8.47 ,-8.6%
2/24/2026,1729383941730701696,NYX Professional Makeup Lip Liner Pencil,Ulta Beauty,Beauty & Personal Care,Makeup,Face Makeup,"19,167","$104,519.76 ",$5.45 ,28.6%
2/24/2026,1729383941730701697,Rare Beauty Soft Pinch Liquid Blush,Sephora,Beauty & Personal Care,Makeup,Face Makeup,"10,967","$225,644.93 ",$20.57 ,39.2%
2/24/2026,1729383941730701698,Dr. Bronner's Pure-Castile Liquid Soap Peppermint 32oz,Whole Foods,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"26,347","$476,737.64 ",$18.09 ,-13.0%
2/24/2026,1729383941730701699,Dove Deep Moisture Nourishing Body Wash 22oz,Walmart,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"23,544","$212,623.96 ",$9.03 ,38.2%
2/24/2026,1729383941730701700,Native Deodorant Coconut & Vanilla,Target,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"6,264","$82,852.68 ",$13.23 ,7.6%
