Month,Product Id,Product Name,Shop Name,L1 category,L2 category,L3 category,Item Sold,Revenue,Avg. Unit Price,MoM Growth %
2/18/2026,1729383941730701675,Sample Product Bath & Body Care #1,BeautyChoiceUSA,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"1,455","$57,455.00 ",$39.49 ,-42%
2/18/2026,1729383941730701676,Sample Product Bath & Body Care #2,GlamourStore,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"1,955","$72,455.00 ",$37.06 ,10%
2/18/2026,1729383941730701677,Sample Product Bath & Body Care #3,NaturalBeauty,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"2,455","$87,455.00 ",$35.62 ,23%
2/18/2026,1729383941730701678,Sample Product Bath & Body Care #4,Revolve,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"2,955","$102,455.00 ",$34.67 ,-12%
2/18/2026,1729383941730701679,Sample Product Bath & Body Care #5,cocomintbeauty,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"3,455","$117,455.00 ",$34.0 ,67%
2/18/2026,1729383941730701680,Sample Product Bath & Body Care #6,BeautyChoiceUSA,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"3,955","$132,455.00 ",$33.49 ,8%
2/18/2026,1729383941730701681,Sample Product Bath & Body Care #7,GlamourStore,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"4,455","$147,455.00 ",$33.1 ,-24%
2/18/2026,1729383941730701682,Sample Product Bath & Body Care #8,NaturalBeauty,Beauty & Personal Care,Bath & Body Care,Bathing Accessories,"4,955","$162,455.00 ",$32.79 ,39%
2/18/2026,1729383941730701683,Sample Product Fragrance #1,BeautyChoiceUSA,Beauty & Personal Care,Fragrance,Unisex Fragrance,"1,131","$56,631.00 ",$50.07 ,-42%
2/18/2026,1729383941730701684,Sample Product Fragrance #2,GlamourStore,Beauty & Personal Care,Fragrance,Unisex Fragrance,"1,631","$71,631.00 ",$43.92 ,10%
2/18/2026,1729383941730701685,Sample Product Fragrance #3,NaturalBeauty,Beauty & Personal Care,Fragrance,Unisex Fragrance,"2,131","$86,631.00 ",$40.65 ,23%
2/18/2026,1729383941730701686,Sample Product Fragrance #4,Revolve,Beauty & Personal Care,Fragrance,Unisex Fragrance,"2,631","$101,631.00 ",$38.63 ,-12%
2/18/2026,1729383941730701687,Sample Product Fragrance #5,cocomintbeauty,Beauty & Personal Care,Fragrance,Unisex Fragrance,"3,131","$116,631.00 ",$37.25 ,67%
2/18/2026,1729383941730701688,Sample Product Fragrance #6,BeautyChoiceUSA,Beauty & Personal Care,Fragrance,Unisex Fragrance,"3,631","$131,631.00 ",$36.25 ,8%
2/18/2026,1729383941730701689,Sample Product Fragrance #7,GlamourStore,Beauty & Personal Care,Fragrance,Unisex Fragrance,"4,131","$146,631.00 ",$35.5 ,-24%
2/18/2026,1729383941730701690,Sample Product Fragrance #8,NaturalBeauty,Beauty & Personal Care,Fragrance,Unisex Fragrance,"4,631","$161,631.00 ",$34.9 ,39%
2/18/2026,1729383941730701691,Sample Product Haircare & Styling #1,BeautyChoiceUSA,Beauty & Personal Care,Haircare & Styling,Hair Brushes & Combs,"1,063","$58,063.00 ",$54.62 ,-42%
