Month,Product Id,Product Name,Shop Name,L1 category,L2 category,L3 category,Item Sold,Revenue,Avg. Unit Price,MoM Growth %
1/27/2026,1729383941730701675,CeraVe Moisturizing Cream 16oz,Ulta Beauty,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"29,069","$591,283.61 ",$20.34 ,18.9%
1/27/2026,1729383941730701676,The Ordinary Niacinamide 10% + Zinc 1%,Sephora,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"11,323","$74,477.29 ",$6.58 ,-8.1%
1/27/2026,1729383941730701677,Neutrogena Hydro Boost Gel-Cream,Target,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"14,731","$280,243.51 ",$19.02 ,20.0%
1/27/2026,1729383941730701678,La Roche-Posay Toleriane Double Repair Moisturizer,CVS Pharmacy,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"9,863","$201,060.44 ",$20.39 ,11.1%
1/27/2026,1729383941730701679,Paula's Choice 2% BHA Liquid Exfoliant,Dermstore,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"5,764","$225,307.02 ",$39.09 ,28.1%
1/27/2026,1729383941730701680,Olaplex No.3 Hair Perfector,Sephora,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"20,070","$525,689.36 ",$26.19 ,30.3%
1/27/2026,1729383941730701681,Moroccanoil Treatment Original 3.4oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"17,345","$750,743.55 ",$43.28 ,2.6%
1/27/2026,1729383941730701682,CHI Silk Infusion Reconstructing Complex,Amazon,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"5,752","$86,279.23 ",$15.0 ,3.8%
1/27/2026,1729383941730701683,TRESemme Keratin Smooth Shine Serum,Walmart,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"8,105","$60,350.20 ",$7.45 ,31.7%
1/27/2026,1729383941730701684,Redken All Soft Conditioner 10.1oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"2,977","$77,263.60 ",$25.95 ,27.4%
1/27/2026,1729383941730701685,Dior Sauvage Eau de Toilette 3.4oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"21,100","$2,220,911.34 ",$105.26 ,11.2%
1/27/2026,1729383941730701686,Versace Bright Crystal EDT 3oz,Ulta Beauty,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"16,916","$991,920.46 ",$58.64 ,39.7%
1/27/2026,1729383941730701687,YSL Black Opium Eau de Parfum 1.6oz,Nordstrom,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"18,282","$1,700,804.13 ",$93.03 ,-8.0%
1/27/2026,1729383941730701688,Marc Jacobs Daisy EDT 3.4oz,Macy's,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"14,448","$1,070,181.48 ",$74.07 ,22.5%
1/27/2026,1729383941730701689,Sol de Janeiro Brazilian Bum Bum Cream 8.1oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"12,764","$701,263.07 ",$54.94 ,30.8%
1/27/2026,1729383941730701690,Blue Buffalo Life Protection Adult Chicken & Rice 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"29,195","$1,497,483.24 ",$51.29 ,28.1%
1/27/2026,1729383941730701691,Purina Pro Plan Adult Sensitive Skin Salmon 30lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"6,252","$300,661.25 ",$48.09 ,0.7%
1/27/2026,1729383941730701692,Royal Canin Medium Adult Dry Dog Food 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"17,048","$1,187,077.28 ",$69.63 ,44.7%
1/27/2026,1729383941730701693,Hill's Science Diet Adult Chicken & Barley 35lb,Amazon,Pet Supplies,Pet Food,Dry Dog Food,"4,707","$281,430.02 ",$59.79 ,7.2%
1/27/2026,1729383941730701694,Taste of the Wild High Prairie Grain-Free 28lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"6,313","$339,925.89 ",$53.85 ,-3.0%
1/27/2026,1729383941730701695,Maybelline Fit Me Matte + Poreless Foundation,Target,Beauty & Personal Care,Makeup,Face Makeup,"42,639","$395,112.68 ",$9.27 ,10.9%
1/27/2026,1729383941730701696,NYX Professional Makeup Lip Liner Pencil,Ulta Beauty,Beauty & Personal Care,Makeup,Face Makeup,"20,056","$115,824.86 ",$5.78 ,16.7%
1/27/2026,1729383941730701697,Rare Beauty Soft Pinch Liquid Blush,Sephora,Beauty & Personal Care,Makeup,Face Makeup,"19,798","$451,493.92 ",$22.81 ,24.9%
1/27/2026,1729383941730701698,Dr. Bronner's Pure-Castile Liquid Soap Peppermint 32oz,Whole Foods,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"44,012","$906,184.07 ",$20.59 ,-8.8%
1/27/2026,1729383941730701699,Dove Deep Moisture Nourishing Body Wash 22oz,Walmart,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"10,058","$91,139.22 ",$9.06 ,7.9%
1/27/2026,1729383941730701700,Native Deodorant Coconut & Vanilla,Target,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"14,719","$194,089.88 ",$13.19 ,30.4%
