Month,Product Id,Product Name,Shop Name,L1 category,L2 category,L3 category,Item Sold,Revenue,Avg. Unit Price,MoM Growth %
2/6/2026,1729383941730701675,CeraVe Moisturizing Cream 16oz,Ulta Beauty,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"40,816","$793,567.82 ",$19.44 ,43.6%
2/6/2026,1729383941730701676,The Ordinary Niacinamide 10% + Zinc 1%,Sephora,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"6,232","$37,814.04 ",$6.07 ,21.4%
2/6/2026,1729383941730701677,Neutrogena Hydro Boost Gel-Cream,Target,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"15,075","$310,845.37 ",$20.62 ,44.4%
2/6/2026,1729383941730701678,La Roche-Posay Toleriane Double Repair Moisturizer,CVS Pharmacy,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"7,541","$189,362.58 ",$25.11 ,2.2%
2/6/2026,1729383941730701679,Paula's Choice 2% BHA Liquid Exfoliant,Dermstore,Beauty & Personal Care,Skincare,Moisturizers & Treatments,"11,088","$320,921.80 ",$28.94 ,42.5%
2/6/2026,1729383941730701680,Olaplex No.3 Hair Perfector,Sephora,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"8,522","$260,393.30 ",$30.56 ,-2.5%
2/6/2026,1729383941730701681,Moroccanoil Treatment Original 3.4oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"10,857","$392,321.19 ",$36.14 ,0.4%
2/6/2026,1729383941730701682,CHI Silk Infusion Reconstructing Complex,Amazon,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"8,720","$150,474.68 ",$17.26 ,29.0%
2/6/2026,1729383941730701683,TRESemme Keratin Smooth Shine Serum,Walmart,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"3,855","$23,440.91 ",$6.08 ,38.1%
2/6/2026,1729383941730701684,Redken All Soft Conditioner 10.1oz,Ulta Beauty,Beauty & Personal Care,Haircare & Styling,Hair Treatments & Styling,"6,343","$170,149.51 ",$26.82 ,5.8%
2/6/2026,1729383941730701685,Dior Sauvage Eau de Toilette 3.4oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"22,173","$2,548,373.45 ",$114.93 ,40.6%
2/6/2026,1729383941730701686,Versace Bright Crystal EDT 3oz,Ulta Beauty,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"18,043","$1,152,908.19 ",$63.9 ,26.8%
2/6/2026,1729383941730701687,YSL Black Opium Eau de Parfum 1.6oz,Nordstrom,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"9,029","$882,278.90 ",$97.72 ,3.8%
2/6/2026,1729383941730701688,Marc Jacobs Daisy EDT 3.4oz,Macy's,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"15,483","$1,449,740.89 ",$93.63 ,-10.1%
2/6/2026,1729383941730701689,Sol de Janeiro Brazilian Bum Bum Cream 8.1oz,Sephora,Beauty & Personal Care,Fragrance,Eau de Toilette & Parfum,"2,760","$131,514.70 ",$47.65 ,37.3%
2/6/2026,1729383941730701690,Blue Buffalo Life Protection Adult Chicken & Rice 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"38,987","$1,890,320.39 ",$48.49 ,31.7%
2/6/2026,1729383941730701691,Purina Pro Plan Adult Sensitive Skin Salmon 30lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"26,137","$1,447,758.46 ",$55.39 ,31.7%
2/6/2026,1729383941730701692,Royal Canin Medium Adult Dry Dog Food 30lb,PetSmart,Pet Supplies,Pet Food,Dry Dog Food,"17,154","$1,030,262.19 ",$60.06 ,19.8%
2/6/2026,1729383941730701693,Hill's Science Diet Adult Chicken & Barley 35lb,Amazon,Pet Supplies,Pet Food,Dry Dog Food,"9,898","$609,003.77 ",$61.53 ,25.4%
2/6/2026,1729383941730701694,Taste of the Wild High Prairie Grain-Free 28lb,Chewy,Pet Supplies,Pet Food,Dry Dog Food,"7,154","$379,476.54 ",$53.04 ,9.9%
2/6/2026,1729383941730701695,Maybelline Fit Me Matte + Poreless Foundation,Target,Beauty & Personal Care,Makeup,Face Makeup,"22,607","$233,381.77 ",$10.32 ,-6.8%
2/6/2026,1729383941730701696,NYX Professional Makeup Lip Liner Pencil,Ulta Beauty,Beauty & Personal Care,Makeup,Face Makeup,"20,499","$127,383.64 ",$6.21 ,26.8%
2/6/2026,1729383941730701697,Rare Beauty Soft Pinch Liquid Blush,Sephora,Beauty & Personal Care,Makeup,Face Makeup,"10,635","$226,899.90 ",$21.34 ,-13.8%
2/6/2026,1729383941730701698,Dr. Bronner's Pure-Castile Liquid Soap Peppermint 32oz,Whole Foods,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"34,519","$660,580.31 ",$19.14 ,11.5%
2/6/2026,1729383941730701699,Dove Deep Moisture Nourishing Body Wash 22oz,Walmart,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"17,526","$159,890.01 ",$9.12 ,42.9%
2/6/2026,1729383941730701700,Native Deodorant Coconut & Vanilla,Target,Beauty & Personal Care,Bath & Body Care,Body Wash & Cleansers,"3,488","$49,207.81 ",$14.11 ,45.0%
